timestamp,open,high,low,close,volume,cap
2019-05-01,5350.91,5418.00,5347.65,5402.70,13679528236,95501110091
2019-05-02,5402.42,5522.26,5394.22,5505.28,14644460907,97330112147
2019-05-03,5505.55,5865.88,5490.20,5768.29,18720780006,101986240859
2019-05-04,5769.20,5886.89,5645.47,5831.17,17567780766,103112021259
2019-05-05,5831.07,5833.86,5708.04,5795.71,14808830723,102494420158
2019-05-06,5791.69,5802.96,5653.69,5746.81,15737171804,101640471056
2019-05-07,5745.60,5988.18,5741.40,5829.50,18026409033,103112368557
2019-05-08,5849.48,5989.98,5794.72,5982.46,15320605300,105829143585
2019-05-09,5982.32,6183.04,5982.32,6174.53,16784645411,109238600750
2019-05-10,6175.82,6434.62,6161.52,6378.85,19419875368,112863284035
2019-05-11,6379.67,7333.00,6375.70,7204.77,28867562329,127488435181
2019-05-12,7203.51,7503.87,6815.77,6972.37,27773333680,123389710222
2019-05-13,6971.18,8047.41,6898.28,7814.92,28677672181,138316573807
2019-05-14,7807.88,8268.71,7696.39,7994.42,32031452227,141508656735
2019-05-15,7989.37,8216.42,7899.11,8205.17,28344112920,145254332460
2019-05-16,8194.50,8320.82,7729.61,7884.91,33167197581,139599559278
2019-05-17,7886.93,7929.15,7038.12,7343.90,30066644905,130034777633
2019-05-18,7341.66,7447.27,7251.50,7271.21,21354286562,128761727083
2019-05-19,7267.96,8261.94,7267.96,8197.69,25902422040,145185076705
2019-05-20,8196.92,8200.97,7678.78,7978.31,23843404340,141315695728
2019-05-21,7977.97,8062.17,7843.34,7963.33,25127245056,141065573610
2019-05-22,7956.29,7997.61,7615.99,7680.07,24719473175,136063898960
2019-05-23,7677.27,7943.79,7533.20,7881.85,24457107820,139654107035
2019-05-24,7881.70,8140.72,7824.45,7987.37,25919126991,141539115575
2019-05-25,7991.89,8117.93,7965.98,8052.54,22256813107,142708188838
2019-05-26,8055.21,8687.52,7924.67,8673.22,26677970091,153725486067
2019-05-27,8674.07,8907.17,8668.70,8805.78,27949839564,156093754762
2019-05-28,8802.76,8807.02,8634.72,8719.96,24226919267,154590202287
2019-05-29,8718.59,8755.85,8482.73,8659.49,23473479966,153537047655
2019-05-30,8661.76,9008.31,8221.27,8319.47,29246528551,147525141134
2019-05-31,8320.29,8586.66,8172.55,8574.50,25365190957,152059886414
2019-06-01,8573.84,8625.60,8481.58,8564.02,22488303544,151890214310
2019-06-02,8565.47,8809.30,8561.24,8742.96,20266216022,155077231351
2019-06-03,8741.75,8743.50,8204.19,8208.99,22004511436,145619047341
2019-06-04,8210.99,8210.99,7564.49,7707.77,24609731549,136742790469
2019-06-05,7704.34,7901.85,7668.67,7824.23,21760923463,138824651666
2019-06-06,7819.63,7937.34,7571.47,7822.02,19474611077,138800725479
2019-06-07,7826.90,8126.15,7788.37,8043.95,19141423231,142754693588
2019-06-08,8036.77,8076.89,7837.61,7954.13,16522722810,141172841635
2019-06-09,7949.67,7975.97,7583.22,7688.08,16610726547,136465098533
2019-06-10,7692.28,8031.91,7586.73,8000.33,18689275117,142023351079
2019-06-11,8004.24,8026.39,7772.80,7927.71,17107279932,140748537530
2019-06-12,7925.43,8196.65,7862.36,8145.86,19034432883,144634684711
2019-06-13,8145.55,8311.57,8087.06,8230.92,18669407147,146160317148
2019-06-14,8230.90,8710.64,8183.39,8693.83,19831162906,154398880249
2019-06-15,8689.75,8859.13,8618.40,8838.38,18371033226,156982138835
2019-06-16,8841.44,9335.87,8814.56,8994.49,23348550311,159769423370
2019-06-17,8988.92,9416.41,8988.92,9320.35,15562951919,165573372261
2019-06-18,9335.47,9348.37,9004.90,9081.76,15848210536,161353637186
2019-06-19,9078.73,9299.62,9070.40,9273.52,15546809946,164780855869
2019-06-20,9273.06,9594.42,9232.48,9527.16,17846823784,169304784791
2019-06-21,9525.07,10144.56,9525.07,10144.56,20624008643,180293241528
2019-06-22,10175.92,11157.35,10107.04,10701.69,29995204861,190214124824
2019-06-23,10696.69,11246.14,10556.10,10855.37,20998326502,192970090355
2019-06-24,10853.74,11065.90,10610.43,11011.10,19271652365,195762668679
2019-06-25,11007.20,11790.92,11007.20,11790.92,24879684533,209647943360
2019-06-26,11778.58,13796.49,11755.60,13016.23,45105733173,231462117209
2019-06-27,13017.12,13311.14,10491.85,11182.81,39977475223,198878940964
2019-06-28,11162.17,12445.18,10914.49,12407.33,35087757766,220681459666
2019-06-29,12400.76,12400.91,11508.38,11959.37,29923961128,212739713110
2019-06-30,11931.99,12178.38,10799.01,10817.16,27256473494,192442065810
2019-07-01,10796.93,11206.44,10089.31,10583.13,29378589324,188297637574
2019-07-02,10588.68,10912.19,9737.88,10801.68,31015895223,192206536806
2019-07-03,10818.16,11968.08,10818.16,11961.27,30796494294,212867079175
2019-07-04,11972.72,12006.08,11166.57,11215.44,25920294033,199617404432
2019-07-05,11203.10,11395.66,10874.96,10978.46,23838480210,195424678267
2019-07-06,10982.54,11620.97,10982.54,11208.55,21092024306,199546110914
2019-07-07,11217.62,11541.62,11148.80,11450.85,19369044277,203881891346
2019-07-08,11446.60,12345.83,11393.37,12285.96,23482551458,218778355444
2019-07-09,12284.33,12779.13,12233.26,12573.81,28167921523,223928128583
2019-07-10,12571.54,13129.53,11710.98,12156.51,33627574244,216515999522
2019-07-11,12139.71,12144.62,11158.92,11358.66,28595327690,202324174692
2019-07-12,11354.30,11905.49,11179.14,11815.99,23534692797,210494417832
2019-07-13,11813.13,11841.96,10908.48,11392.38,21042616384,202968191001
2019-07-14,11381.02,11451.20,10234.58,10256.06,22486000001,182741933552
2019-07-15,10257.84,11052.77,9992.01,10895.09,25384047207,194147627475
2019-07-16,10896.65,10996.63,9448.11,9477.64,24151199070,168908640950
2019-07-17,9471.21,9963.13,9163.13,9693.80,24569921549,172777250515
2019-07-18,9698.50,10736.84,9376.80,10666.48,25187024648,190129918121
2019-07-19,10653.96,10716.98,10229.63,10530.73,20727426310,187725578628
2019-07-20,10525.82,11048.66,10451.28,10767.14,20206615155,191963691255
2019-07-21,10777.53,10841.89,10389.60,10599.11,17130580467,188987475962
2019-07-22,10596.95,10651.79,10154.92,10343.11,16334414913,184443440748
2019-07-23,10346.75,10346.75,9883.60,9900.77,17851916995,176572890702
2019-07-24,9887.73,9908.80,9614.31,9811.93,17398734322,175005760794
2019-07-25,9809.10,10154.25,9773.96,9911.84,15821952090,176806451137
2019-07-26,9913.13,9916.52,9717.98,9870.30,14495714483,176085968354
2019-07-27,9871.16,10167.32,9411.52,9477.68,16817809536,169099540423
2019-07-28,9491.63,9575.55,9252.30,9552.86,13738687093,170461958074
2019-07-29,9548.18,9681.65,9472.95,9519.15,13791445323,169880343827
2019-07-30,9522.33,9701.76,9437.34,9607.42,13829811132,171472452506
2019-07-31,9604.05,10085.63,9598.10,10085.63,16631520648,180028959603
2019-08-01,10077.44,10446.92,9922.02,10399.67,17165337858,185653203391
2019-08-02,10402.04,10657.95,10371.01,10518.17,17489094082,187791090996
2019-08-03,10519.28,10946.78,10503.50,10821.73,15352685061,193233960601
2019-08-04,10821.63,11009.21,10620.28,10970.18,16530894787,195907875403
2019-08-05,10960.74,11895.09,10960.74,11805.65,23875988832,210848822060
2019-08-06,11811.55,12273.82,11290.73,11478.17,23635107660,205023347814
2019-08-07,11476.19,12036.99,11433.70,11941.97,22194988641,213330426789
2019-08-08,11954.04,11979.42,11556.17,11966.41,19481591730,213788089212
2019-08-09,11953.47,11970.46,11709.75,11862.94,18339989960,211961319133
2019-08-10,11861.56,11915.66,11323.90,11354.02,18125355447,202890020455
2019-08-11,11349.74,11523.58,11248.29,11523.58,15774371518,205941632235
2019-08-12,11528.19,11528.19,11320.95,11382.62,13647198229,203441494985
2019-08-13,11385.05,11420.05,10830.33,10895.83,16681503537,194762696644
2019-08-14,10889.49,10889.56,10028.14,10051.70,19990838300,179692803424
2019-08-15,10038.42,10437.41,9675.32,10311.55,22899115082,184357666577
2019-08-16,10319.42,10524.35,9855.48,10374.34,20228207096,185500055339
